location_id,location_source_value
70,1401
98,1402
207,1407
127,1415
102,1419
215,1421
263,1427
264,1430
105,1435
71,1438
238,1439
43,1440
72,1441
265,1442
129,1443
241,1444
174,1445
44,1446
165,1447
131,1452
266,1460
132,1461
267,1462
173,1463
73,1465
162,1466
211,1470
176,1471
214,1472
133,1473
268,1480
135,1481
270,1482
217,1484
177,1485
218,1486
175,1487
243,1488
246,1489
247,1490
180,1491
49,1492
271,1493
219,1494
272,1495
136,1496
52,1497
138,1498
59,1499
10,0114
3,0115
1,0117
5,0120
13,0123
6,0125
8,0126
17,0127
2,0128
9,0136
14,0138
15,0139
7,0140
18,0160
58,0162
41,0163
12,0180
16,0181
4,0182
57,0183
51,0184
100,0186
45,0187
11,0188
19,0191
47,0192
